,company,href,salary,text_requirement,text_responsibility,title
767,DINO Systems,https://spb.hh.ru/vacancy/32001553?query=Python,unknown,"You will get experience: Working in a high-performance team in strong IT company. Working with SQL, bash, python or...",,Intern DevOps Engineer
768,Санкт-Петербургский филиал компании ГАЗПРОМ Германия ГмбХ,https://spb.hh.ru/vacancy/31886968?query=Python,unknown,Programming and data manipulation skills. Experience of developing in Python would be an advantage. Ability to explain and defend the...,"Supporting the development, testing and documentation of firm's existing and new models. Working with the other Quantitative Analysts and...",Quantitative Analyst / Специалист по численному анализу
769,ООО Тензор,https://spb.hh.ru/vacancy/32011830?query=Python,104 000-160 000 руб.,"Опыт коммерческой разработки на С++. Знание С++11, STL, Boost. Понимание принципов ООП. Знание основных и архитектурных паттернов программирования. ","Разработкой бизнес слоя на С++ с использованием средств платформы. Взаимодействовать с мобильной командой, и backend командой. Улучшением качества продукта и...",Программист С++ под мобильные устройства
770,Сбербанк для экспертов,https://spb.hh.ru/vacancy/30931041?query=Python,unknown,Желательно наличие практического опыта разработки на Java. Приветствуется знание Python для работы с большими данными и построения моделей. ,Обеспечение непрерывной поставки данных в целевое банковское хранилище. Построение витрин данных из данных различных систем. Контроль качества данных. ,Разработчик Hadoop/Big Data
771,Devim,https://spb.hh.ru/vacancy/31998520?query=Python,от 120 000 руб.,"Знание Kubernetes (must have). Знание скриптовых языков Bash, Python. Знание Git. Понимание принципов работы основных сетевых сервисов DNS, DHCP, HTTP...","Настройка CI/CD (Jenkins, Gitlab). Автоматизация процессов разработки, тестирования. Работа с Docker, LXC. Решение возникающих в процессе развёртывания проблем. ",DevOps Engineer
772,JetBrains,https://spb.hh.ru/vacancy/31680010?query=Python,unknown,...assurance experience is a plus. Degree in Computer Science or Marketing is a plus. Python development experience is a plus.,Continuously monitor technology trends in the Python world to find and pursue new opportunities and gain competitive advantages. ,Product Marketing Manager (PyCharm)
773,SEMrush,https://spb.hh.ru/vacancy/31153711?query=Python,unknown,"Не боитесь трудностей связанных с проектированием БД, настройкой СУБД и поддержкой одной из популярных баз данных (документной или реляционной) (MongoDB...",Разрабатывать с нуля инфраструктурный продукт. Тестировать свою работу. Взаимодействовать с frontend разработчиками и ux проектировщиками. Самостоятельно разрабатывали сложные сервисы с...,Python Developer
774,ООО Intella,https://spb.hh.ru/vacancy/32039154?query=Python,unknown,Опыт разработки электронных курсов и материалов к ним или же готовность изучить специфику и начать этим заниматься в сжатые сроки...,"Предстоит заниматься созданием материалов и подготовкой контента для проведения обучения (Java, Python и другие языки и связанные с ними технологии...",Специалист по e-learning и техническому обучению
775,DINO Systems,https://spb.hh.ru/vacancy/31110897?query=Python,unknown,"Опыт разработки back-end систем на Python. Опыт работы с СУБД: PostgreSQL. MongoDB. Владение объектно-ориентированной методологией, шаблонами проектирования (OOD...","Разрабатывать и сопровождать систему автоматической установки и конфигурирования программных сред. Проектировать архитектуру, выбирать программные средства. Работать с отделами разработки, тестирования...",Python Developer
776,ARRIVAL LTD,https://spb.hh.ru/vacancy/32009757?query=Python,unknown,Experience with OpenCV. Experience with Deep Learning. Expertise in C++ and Python. Strong math. Strong algorithmic and data structures skills. ,"Develop computer vision algorithms with focus on ADAS and self-driving applications such as: object detection, semantic segmentation, camera calibration...",Computer Vision/Deep Learning Engineer
777,Syntacore,https://spb.hh.ru/vacancy/32039486?query=Python,unknown,Дополнительным преимуществом будут: Знакомство со скриптовыми языками (perl/python/tcl/shell) и make. Опыт работы с Linux и RTOS. ,"Отвечать за сборку и отладку процессорных ядер и сложных систем на их основе (многоядерные процессоры, память, высокоскоростная периферия) на различных...",FPGA (ПЛИС) разработчик
778,ПАО Совкомбанк,https://spb.hh.ru/vacancy/27771867?query=Python,unknown,"Опыт администрирования операционных систем (Windows, *nix) и знание языков программирования (python, powershell). Опыт составления инструкций и регламентов в сфере информационной...",Создание автоматизированных контролей по выявлению инцидентов ИБ (с помощью SIEM). Проведение внутренних расследований по нетиповым инцидентам ИБ. Участие в создании...,Старший аналитик по информационной безопасности
779,Space307,https://spb.hh.ru/vacancy/31640318?query=Python,unknown,"...JTB, Growth Hacking, Customer Development). Опыт взаимодействия с разработчиками, опыт подготовки технических заданий. Знание Python, R, знание других языков программирования.",Работа с международным продуктом и миллионными аудиторными сегментами. Работа с данными о пользователях на всем жизненном цикле с момента регистрации...,Product Marketing Analyst
780,ПАО «Газпром нефть»,https://spb.hh.ru/vacancy/31812669?query=Python,unknown,Высшее техническое образование. Опыт разработки ИТ архитектуры от 3 лет. Опыт работы техническим специалистом / разработчиком. Способность самостоятельной работы и взвешенного...,"Решение вопросов ИТ архитектуры в проектах трансформации бизнес-процессов планирования и оптимизации: - выбор и реализация способов интеграции, использование НСИ, шин. - ",Архитектор ИТ проектов [id14208]
781,ARRIVAL LTD,https://spb.hh.ru/vacancy/32009802?query=Python,unknown,English language knowledge at level to work with technical documentation. Python knowledge. Experience in point cloud processing. Experience in AR...,Development computer vision algorithms as part of ADAS software in embedded Linux environment. Research in computer vision and development of...,Computer Vision Engineer for ADAS
782,КРОК,https://spb.hh.ru/vacancy/29178709?query=Python,unknown,"Опыт работы с одним или несколькими DL фреймворками (Tensorflow, Keras, PyTorch, Caffe, etc.). Опыт программирования на Python или C++. ","Разработка и реализация алгоритмов решения прикладных задач компьютерного зрения (CV). Прототипирование и обучение моделей, оценка качества, разработка программного обеспечения, использующего...",Разработчик компьютерного зрения
783,Netcracker Technology Corp.,https://spb.hh.ru/vacancy/27724718?query=Python,unknown,"Education: Degree in a technical discipline (math, physics, IT, telecommunications). Extensive experience in working with GIT, Maven, Jenkins systems. ",Manage the development and support processes of ALM & DevOps platform in the company. Manage team in 5-10 developers. ,DevOps Team Lead
784,OpenWay Group,https://spb.hh.ru/vacancy/29435296?query=Python,unknown,"Письменный английский не ниже уровня Intermediate​;​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​. Будет плюсом: Навыки работы с Python, Ansible, TeamCity, Oracle DB. Базовые знания Java. ","Поддержка и развитие системы сборки (gradle) для основного продукта компании (Oracle-based). Поддержка и развитие ряда инструментов, используемых в процессе...",DevOps/Build Engineer
785,АО Аркадия,https://spb.hh.ru/vacancy/31612301?query=Python,unknown,Bash. Beam (Apache). Technical English: reading & writing. Желательно: Data Studio or equivalent.,,Senior DevOps
786,Сбербанк для экспертов,https://spb.hh.ru/vacancy/32011891?query=Python,unknown,"Опыт администрирования OC Linux. Владение одним из языков программирования – Python, Groovy, Bash, Java. Знание Ansible. Владение билд инструментами для основных...","Сопровождение сервисов DevOps (Jenkins, Bitbucket, SonarQube). Обеспечение стабильности и надежности. Исследование, настройка и описание интеграций и распространение Best Practice в...",DevOps-инженер
787,Sperasoft,https://spb.hh.ru/vacancy/29476168?query=Python,unknown,"Knowledge of Linux kernel development including networking, memory management. Programming experience in C++, Python or Go. Prior experience of lock...","Building new features for our next-gen product by working closely with the marketing/testing teams, developing and testing features. ",Middle System Developer (C/C++)
788,ARRIVAL LTD,https://spb.hh.ru/vacancy/32009866?query=Python,unknown,Знание Python или знание другого языка программирования и готовность освоить Python. Опыт работы Automation QA Engineer. Опыт локализации дефектов в...,"Программное обеспечение автомобиля (от контроллеров движения до панели управления) мы разрабатываем в Санкт-Петербурге, электрогрузовики собираются в Англии. ",E2E Test Engineer
789,First Line Software,https://spb.hh.ru/vacancy/31996315?query=Python,unknown,"Настройка (coreutils, iptables, RPM/dpkg, cron), возможность автоматизировать рутинные сценарии (хотя бы одно: bash, shell, perl, python). Администрирование ОС Windows. ",,DevOps инженер
790,ARRIVAL LTD,https://spb.hh.ru/vacancy/32009832?query=Python,unknown,Опыт работы на аналогичной должности от 2-x лет. Знание Python. Уверенное использование Linux. Знание подходов и методик оценки качества...,Разработка и поддержка тестовых планов и сценариев. Автоматизация тестовых сценариев. Участие в разработке тестовой инфраструктуры. Поддержка CI и CD. ,Automation Test Engineer
791,Spice Agency,https://spb.hh.ru/vacancy/31899626?query=Python,unknown,Опыт разработки на Python от 3-х лет. Django и Flask. PostgreSQL.,Разработка REST-приложения на Django и Flask. Проектирование архитектуры.,Senior python developer
792,Университет ИТМО,https://spb.hh.ru/vacancy/31499507?query=Python,от 100 000 руб.,Опыт работы в области анализа данных или промышленной разработки от 1 года. Уверенное владение Python и базовое знание его экосистемы. ,"Участие в выполнении проектов от промышленных заказчиков (в том числе международных крупных компаний), а также научно-исследовательских проектах, нацеленных на...",Data Scientist/ML engineer
793,DINO Systems,https://spb.hh.ru/vacancy/31592386?query=Python,unknown,"Protocols understanding: HTTP(S), NFS, CIFS, TCP/IP stack. Scripting experience: Python, cmd, shell (bash/sh). Web-servers administration: IIS...",Support test environments located in datacenters spread all over the world. Work with AWS cloud to support test environments. ,System Administrator (LAB)
794,Bitnic,https://spb.hh.ru/vacancy/31918806?query=Python,от 110 000 руб.,"Отличное знание Python. Опыт работы с реляционными базами данных, в частности PostgreSQL. Опыт работы c Tornado, Peewee. Опыт системного администрирования...",Разрабатывать новые решения для массового рынка. Развивать и поддерживать существующие продукты. Участвовать в решении архитектурных вопросов.,Python Developer (Backend)
795,Яндекс,https://spb.hh.ru/vacancy/32005590?query=Python,unknown,Знание классических алгоритмов и структур данных. Хорошее владение С++ и STL. Глубокое знание операционных систем. Работа в аналогичной должности в...,Многопоточного и сетевого программирования. Командной разработки: использование систем контроля версий и багтрекеров. Написания кода на Python. Проектирования и разработки высоконагруженных...,Разработчик С++ в Маркет
796,Код Безопасности,https://spb.hh.ru/vacancy/32005492?query=Python,unknown,"PowerShell\batch, cmd-line, bat файлы \ Python \ shell \ bash. C#. Навыки работы с ОС на базе Linux на уровне умения...",Знакомство с тестированием клиент-серверных приложений. Автоматизацию при тестировании API. Нагрузочное тестирование.,Специалист по тестированию
797,Билайн,https://spb.hh.ru/vacancy/32010236?query=Python,unknown,"Знание алгоритмов и структур данных. Опыт разработки на Java, Scala, Python от 3 лет. Опыт работы с BigData технологиями от...",Разработка систем и продуктов по технологиям распределенных вычислений. Разработка и проектирование высоконагруженных систем потоковой обработки данных. Разработка микросервисов. ,Старший разработчик продуктов больших данных
798,Netcracker Technology Corp.,https://spb.hh.ru/vacancy/27724775?query=Python,unknown,Management of 3-5 engineers team. Experience in Java. Experience in Python/Ruby/Groovy. Experience in distributed file systems- Ceph...,"Automate deployment and lifecycle of complex microservice-based application deployed in cloud ecosystem (Openshift, Openstack). Strict availability requirements are applied...",DevOps Lead / Architect
799,ПАО «Газпром нефть»,https://spb.hh.ru/vacancy/32037281?query=Python,unknown,"Опыт работы с трекерами (Redmine, JIRA / Confluence). Владение (понимание) языками программирования и технологиями - Java, Python, JavaScript, HTML/CSS, Git.",Интервью с Заказчиком для понимания бизнес-процессов компании и выявления требований к будущему продукту. Преобразование полученной информации в понятное техническое...,Технический писатель [12682]
800,КОМПЛИТ,https://spb.hh.ru/vacancy/31495369?query=Python,unknown,"Способность работать с нечеткой постановкой задачи. Владение скриптовыми языками типа python, R, SQL. Знакомство с принципами проектирования баз данных и...","Подготовка данных в ходе разработки моделей машинного обучения, методов прогнозирования и сценарного моделирования. Анализ наборов данных и их структуры, поиск...",Junior Data Scientist / Data engineer
801,Devim,https://spb.hh.ru/vacancy/31252237?query=Python,от 100 000 руб.,"Знание T-SQL. Опыт написания сложных SQL запросов, хранимых процедур - обязательно. Опыт программирования на Python. Умение работать с unix-системами.",Создание и оптимизация ETL-процессов. Выгрузка данных во внешние сервисы. Подготовка данных для Data Science специалистов. Разработка и оптимизация хранимых...,MS SQL Developer
802,ООО БиАйЭй-Технолоджиз,https://spb.hh.ru/vacancy/31948207?query=Python,unknown,Высшее математическое/техническое/экономическое образование. Высокие навыки (программирование на Python/R). Опыт работы от 2-х лет на аналогичных позициях. ,Поиск закономерностей в данных с использованием Python/R. Разработка предсказательных моделей для дальнейшего использования прогноза бизнесом. Участие в реализации итоговой...,Data scientist
803,TradingView,https://spb.hh.ru/vacancy/31612873?query=Python,unknown,Владение одним или несколькими языками программирования. Опыт тестирования HTTP сервисов. Умение анализировать проблемы с производительностью. Знание Python или Go. ,"Автоматизация функционального тестирования. Тестирование производительности и нагрузочное тестирование. Анализ требований и результатов тестирования. Совместное с разработчиками исследование проблем, возникающих в...",Инженер по автоматизированному тестированию (UDF Team)
804,Synopsys,https://spb.hh.ru/vacancy/30849900?query=Python,unknown,Strong programming skills in C and C++. Experience with assembler language and Python. Good teamwork and communication skills. ,Development of optimized CNN engine mapping tools and neural network compiler. Contribution to the development of performance analysis and resource...,Senior R&D Engineer
805,Syntacore,https://spb.hh.ru/vacancy/32039466?query=Python,unknown,Дополнительным преимуществом будут: Знакомство с make и скриптовыми языками (perl/python/tcl/shell). Опыт программирования на C/asm. ,Разработка и верификация сложных функциональных модулей для ASIC на Verilog. Возможность публикаций и поездок на конференции.,RTL designer
806,ООО МЕЛ Саенс,https://spb.hh.ru/vacancy/31998342?query=Python,unknown,"Ability to work with data, both in spreadsheets and to automate calculations. Writing SQL requests or simple Python code is...","Analyzing customer retention rates, building retention models. Providing Finance team insight on retention, working with Finance team to calculate customer...",Data Scientist
807,Яндекс,https://spb.hh.ru/vacancy/32027506?query=Python,unknown,"Имеете высшее техническое образование. Хорошо знаете математику и владеете основами статистики. Понимаете техническое устройство интернета. Имеете опыт работы аналитиком, менеджером...",Анализ поведения пользователей для принятия решений о перспективных направлениях развития продукта: Генерация гипотез о частотных сценариях использования продукта на основе...,Аналитик в Почту
808,Diamond Personnel R&C,https://spb.hh.ru/vacancy/30884023?query=Python,unknown,"Умеете анализировать работу базы данных Oracle. Хорошо программируете на C, C++, Java, Python. Имеете опыт работы с протоколами HTTP, XML...","Отлично разбираетесь в нагрузочном тестирование (методика, тесты, анализ, отчет).",Инженер по нагрузочному тестированию (Санкт-Петербург)
809,БАРС Груп,https://spb.hh.ru/vacancy/31411258?query=Python,unknown,Мы ожидаем от вас: Опыт работы от года на Python (приветствуется опыт в Django);. Опыт работы с реляционными СУБД: PostgreSQL...,"Мы используем в разработке: Тестирование: unittest, behave, selenium, etc. ОС и IDE на выбор разработчика.",Python Developer / Senior Python Developer
810,Veeam Software,https://spb.hh.ru/vacancy/31292952?query=Python,unknown,Ability and experience to work in a team. Python experience. Project management experience. ECSA: EC-Council Certified Security Analyst. ,"Advanced level of security investigation on following areas: Application Security, Cloud Security, Data Security, Network Security, and Perimeter Security. ",Information Security Analyst
811,Университет ИТМО,https://spb.hh.ru/vacancy/30982039?query=Python,70 000-90 000 руб.,"Высшее образование в области математики и информатики - магистр или специалист. Желательно знание языков Python или R, а также опыт их...","Участие в выполнении научно-исследовательских проектов от промышленных заказчиков, государственных предприятий и научных фондов. Разработка наукоемкого ПО для задач гидрометеорологического...",Разработчик научного ПО
812,ПАО «Газпром нефть»,https://spb.hh.ru/vacancy/32002347?query=Python,unknown,Опыт работы от 5 лет (успешный проектный опыт полного цикла: от идеи до сдачи в эксплуатацию к дальнейшей поддержке). ,"Java как основа (немного Scala), Python и R для математики и анализа данных, а также Angular на фронте. ",Solution Architect/ Team Leader [id10242]
813,АО РТ Лабс,https://spb.hh.ru/vacancy/31637154?query=Python,unknown,"...системами контроля версий. Практический опыт администрирования серверов приложений - JBoss,Wildfly,Tomcat. Практический опыт автоматизации процессов с помощью bash, ansible, python.","Сборка дистрибутивов из исходных кодов. Установка приложений, настройка и администрирование разработческих/тестовых сред. Организация хранения исходных кодов, дистрибутивов и документации...",Релиз-инженер
814,КОМПЛИТ,https://spb.hh.ru/vacancy/31660275?query=Python,unknown,"Математическое, экономическое (специализация в любом разделе математики, прикладной математики, системного программирования, а также математические методы в экономике и близкие специализации). ",Владели инструментами для разработки прототипов решений и анализа данных - SQL или python или скриптовый язык Matlab или ему подобные (как...,Junior analyst / junior data analyst
815,Netcracker Technology Corp.,https://spb.hh.ru/vacancy/27724740?query=Python,unknown,"Performance tuning skills for chosen data base. Python development skills. Openshift/Kubernetes experience on user level. Monitoring configuration (Zabbix, Grafana).",Participate in data bases “cloudization” – preparation of common opensource Data Bases to Openshift cloud deployment. Such preparation contains: Choose correct...,Cloud DB/Cassandra DB Engineer
816,NETRIKA,https://spb.hh.ru/vacancy/31911602?query=Python,unknown,Django Rest Framework. Ansible. Gitlab CI. Опыт разработки Python/Django от 2 лет. Умение пользоваться git. Знание SQL. ,"Мы - группа компаний ""Нетрика"", занимаемся разработкой веб-решений для автоматизации бизнес-процессов в области взаимодействия с государством в различных областях...",Python разработчик
817,ООО ДИДЖИТАЛ ТРЕЙД СОЛЮШНС,https://spb.hh.ru/vacancy/31942058?query=Python,110 000-150 000 руб.,"Что мы хотим от Вас: 1. Python 3.x+, Postgresql, Django. 2. Самостоятельность с технической точки зрения. 3. ",8. Написание тестов. 1) Взять на поддержку питон компоненты (в целом у нас нормальной код и даже часть покрыта тестами). ,Python Backend разработчик (приложение для знакомств)
818,iTechArt Group,https://spb.hh.ru/vacancy/31913864?query=Python,unknown,"Опыт работы с Python от 1 года. Знание Django (или Flask, Tornado, Аiohttp). Знание REST. Уровень английского от Intermediate+. Python. ",Общаться с клиентами и принимать активное участие в разработке продукта. Решать нестандартные задачи. Разрабатывать новый функционал для коммерческих проектов с...,Python Developer (Минск)
819,Wrike,https://spb.hh.ru/vacancy/30847588?query=Python,unknown,Уверенные знания SQL и баз данных (мы используем PostgreSQL). Навыки программирования (мы используем Python). Владение английским языком (upper intermediate или...,Помощь в формировании продуктовой стратегии. Определение необходимых метрик для оценки инициатив. Планирование и разработка трекинга. Планирование экспериментов. Формирование отчетности по...,Product Analyst
820,Sperasoft,https://spb.hh.ru/vacancy/31935351?query=Python,unknown,"4+ years of professional web development experience. Experience with Python, Django programming. Experience with web frameworks and languages (Typescript...","Design, author, maintain and refactor internal sites that meet all design, technical and schedule requirements. Work closely with QA and...",Fullstack Python Software Developer
821,"ООО Яндекс.Деньги, НКО",https://spb.hh.ru/vacancy/31555844?query=Python,unknown,"Отличное знание Excel. Владение SQL (допустим любой диалект). Знание статистических пакетов или python будет преимуществом. Самостоятельность, коммуникабельность, презентационные навыки.","Запуск действительно востребованных сервисов (например, проводя опросы клиентов или анализируя, как они на самом деле пользуются нашими продуктами). ",Бизнес-аналитик
822,Itransition,https://spb.hh.ru/vacancy/31925632?query=Python,unknown,"Человек, которого мы ищем должен понимать возможности и инструменты экосистемы Python: владеть стандартной библиотекой и средствами языка вроде декораторов, контекстных...",Участие в планировании архитектуры новых модулей проекта. Разработка новой функциональности и исправление существующих ошибок. Общение с аналитиками и оценка времени...,Middle Python Developer (г. Санкт-Петербург)
823,OneTwoTrip,https://spb.hh.ru/vacancy/31948555?query=Python,90 000-180 000 руб.,"Опыт разработки серверных приложений в среде Unix на каком-либо языке (python, ruby, php, nodejs). Понимание принципов построения масштабируемых систем...",Разработка нового и поддержка текущего функционала системы.,Разработчик JavaScript (Node.js/back-end)
824,IQ Орtiоn Sоftwаre,https://spb.hh.ru/vacancy/31986964?query=Python,unknown,"OOP (понимание основных принципов, принципов SOLID). Понимание основных структур данных и алгоритмов работы с ними. Опыт коммерческой разработки на NodeJS...",Писать новую и рефакторить существующую бизнес-логику GraphQL API на Typescript / NodeJS/ NestJS. Принятие решений об изменении / развитии архитектуры (вместе...,NodeJS разработчик
825,КОРУС Консалтинг,https://spb.hh.ru/vacancy/32000508?query=Python,unknown,"Опыт проработки программной архитектуры и IT инфраструктуры систем. Технологический стек: PHP 7+, Python, MySQL, PostgreSQL, Oracle, AJAX, JSON, REST...",Исследование и проработка архитектурных решений в рамках реализации масштабных e-commerce проектов. Создание собственных решений. Декомпозиция и оценка проектных задач. ,Системный архитектор
826,Яндекс,https://spb.hh.ru/vacancy/31626824?query=Python,unknown,"Умение самостоятельно работать с данными статистики (Excel, SQL, Python). Опыт постановки технических заданий, касающихся оптимизации инструментов поддержки. Опыт ведения задач...","Мы ищем менеджера в команду поддержки пользователей геосервисов Яндекса (Карты, Мобильные Карты, Навигатор, Транспорт, Метро и др.). В задачи нашей...",Менеджер в службу поддержки геоинформационных сервисов
827,Триколор,https://spb.hh.ru/vacancy/30068952?query=Python,unknown,Опыт настройки сервисов nginx postgresql/mysql php/python/perl (языки только базис). Опыт написания технической документации. Опыт проведения презентаций и...,"Планирование развития информационных систем, входящих в экосистему ОТТ вещания, вынесение рационализаторских предложений на рассмотрение бизнесу и руководству. Анализ конкурентных преимуществ...",Системный архитектор
828,Билайн,https://spb.hh.ru/vacancy/30922336?query=Python,unknown,"...с одной промышленной БД (Oracle, Teradata, другие). Понимание моделей данных и принципа устройства хранилищ. Знания одного из языков SQL/Python.","Сбор, анализ и разработка (уточнение и детализация) требований заказчика. Разработка проектных документов: бизнес-требований, технического задания, описание продукта, описание процедур...",Менеджер по аналитике
829,ПАО «Газпром нефть»,https://spb.hh.ru/vacancy/32009473?query=Python,unknown,"Эффективное управление процессами научных и технических исследований в условиях гипотетической невозможности достичь желаемого эффекта, большого количества параллельных инициатив, а также...","Программирование на JVM based языках (Java/Kotlin/Scala), а также Python/Bash. Работа с Linux (CentOS, RHEL, Ubuntu) & Windows (Server...",Head of R&D [id14015]
830,Antal Russia,https://spb.hh.ru/vacancy/31916447?query=Python,unknown,"Технологии: Python 2.7/3., Django, DRF, PostgreSQL.","В разработке используются CI\ CD, применяются автотесты, Gitlab и Jira. Задачи: - Разработка сервисов на Python + Django. - Планирование и проектирование...",Python backend developer
831,ООО Глассен-АйТи,https://spb.hh.ru/vacancy/32010598?query=Python,от 160 000 руб.,"Знание ООП и ФП. Опыт программирование на нескольких из языков: Python, Ruby, Elixir, GoLang, C++, Rust, Java. Опыт построения высоко...","Управление результатами разработки по нескольким проектам. Формирование сложных технических заданий, архитектуры проектов, контроль качества выполненной работы. Грамотная постановка задач исполнителям. ",Технический директор
832,ПАО «Газпром нефть»,https://spb.hh.ru/vacancy/31963970?query=Python,unknown,Опыт разработки на продуктах Informatica Power Center или BDM. Опыт разработки решений на базе СУБД MS SQL Server 2012 и...,"...Data Catalog, Data Quality, Axon), Microsoft SQL Server 2017, Hadoop, Python. Разработка механизмов пакетной и потоковой интеграции с внутренними и...",Data Engineer
833,ООО Мой Зубной,https://spb.hh.ru/vacancy/31996973?query=Python,до 70 000 руб.,"Опыт настройки сетевого оборудования, серверного оборудования. - Shell, Python достаточно опыта написания небольших скриптов. - Английский язык на уровне чтения технической документации. ","Обеспечение комплексной поддержки и развития IT-инфраструктуры компании. - Администрирование и техническое сопровождение (серверы, рабочие станции, сетевая инфраструктура, виртуализация, телефония и...",Инженер администрирования сети
834,Qmobi Ltd,https://spb.hh.ru/vacancy/32050883?query=Python,unknown,"Опыт развертывания и поддержки для системы мониторинга: zabbix. Опыт программирования на скриптовых языках (bash, perl, python, ruby и подобных).","Опыт работы в команде разработчиков. Опыт разработки на python. Примеры кода на github. Заниматься процессами CI/CD (настройка, создание/поддержка...",DevOps
835,Joom,https://spb.hh.ru/vacancy/30985318?query=Python,от 130 000 руб.,"Знание математической статистики и опыт ее применения. Навыки программирования на Python (Pandas, Numpy). Умение писать SQL-запросы. Умение выбирать нужный...","В команду логистической платформы на задачи оптимизации логистических затрат, предотвращения возможных миллионных убытков, оценку эффективности новых каналов доставки, поиск узких...",Аналитик продукта / Product Analyst
836,Билайн,https://spb.hh.ru/vacancy/30922127?query=Python,unknown,"...работы (Jira, Wiki, Gitlab и т.д.). Знания одного из языков SQL/Python. Знание основных библиотек для работы с данными.","Сбор, анализ и разработка (уточнение и детализация) требований заказчика. Разработка проектных документов: бизнес-требований, технического задания, описание продукта, описание процедур...",Старший менеджер по аналитике
837,Wrike,https://spb.hh.ru/vacancy/30148700?query=Python,unknown,2+ years in administrating local infrastructure. Basic knowledge of *nix and windows OS`s. Basic knowledge and skills at...,Supporting already existing cloud services. Resolution of arising issues with integrations between SaaS`es/IDP and AD. Implementing new cloud...,SaaS Administrator
838,Сбербанк для экспертов,https://spb.hh.ru/vacancy/31830612?query=Python,unknown,Опыт работы с большими данными и сопутствующими инструментами: ● Опыт разработки на Python и знание data-analysis-экосистемы Python.,"Segmento — рекламная платформа, таргетирующая рекламу на основе офлайн- и онлайн-данных. Платформа управляет рекламой во всех основных каналах: баннеры, видео...",Data Scientist
839,Nexign (АО «Петер-Сервис»),https://spb.hh.ru/vacancy/31962085?query=Python,unknown,"Знание Linux на уровне LPIC-2/RedHat CE/Ubuntu CE. Опыт автоматизации задач (bash, Python, Ansilbe, etc). Системный подход в...",Сопровождение и развитие ИТ-инфраструктуры предприятия. Консультирование разработчиков на втором уровне поддержки. Участие в проектной деятельности по внедрению новых технологий...,Junior DevOps Engineer
840,ПАО «Газпром нефть»,https://spb.hh.ru/vacancy/31999154?query=Python,unknown,Знание методов тестирования white и black box. Понимание скриптовых языков Ruby/Python/PowerShell. Опыт тестирования мобильных и веб-приложений (IAST...,"Осуществление поиска уязвимостей в принятых в эксплуатацию корпоративных автоматизированных системах, инфраструктурном ландшафте и разработка технических требований по их устранению. ",Главный специалист направления кибер-безопасности/ Пентестер [id12678]
841,Luxoft,https://spb.hh.ru/vacancy/31973416?query=Python,unknown,Experience with open-source implementations. Good knowledge of python and code optimization. Good knowledge In computer vision algorithms. ,"The solution is related to automated ground truth generation on recorded data (video, lidar, radar). We use both deep learning...",Senior Deep Learning engineer
842,ООО Тензор,https://spb.hh.ru/vacancy/31945782?query=Python,72 000-121 000 руб.,...править без полной переделки. Способность самостоятельно определять и соблюдать сроки выполнения задач. Опыт работы с require.js. Опыт работы с python.,Работать в большой команде разработчиков. Разрабатывать визуальные компоненты для различных модулей нашей системы. Участие в процессе проектирования пользовательских интерфейсов.,Frontend-разработчик
